Model,Year,Fuel_Type,Transmission,DoorsNum,Condition,Color,Cruise,Leather_Seats,Heated_Seats,Navigation,Owners,Insurance,Service_History,Safety,Premium_Sound,Multimedia,Bluetooth,Wheel,Sunroof,Warranty,TAge,Price,Cylinder_Numbers,Credit_History,Engine_Size,Weight,carlength,carwidth,monthly_mileage,peakrpm,Estimated_Mileage
Nissan Altima,2007,Petrol,Manual,4,Fair,Brown,No,No,No,No,2,Third Party,No Service,Not rated/Unknown,Yes,Yes,Yes,Alloy,No,7,3,8005.469674,two,0.004967142,1.655688091,3170.460434,179.1,68.1,3020.47475,6000,36245.697
Toyota Corolla,2019,Electric,Manual,4,Excellent,Beige,Yes,No,Yes,Yes,1,No insurance,Full Service,5 stars,No,Yes,Yes,Steel,No,20,1,25385.24186,two,-0.001382643,2.696625886,3543.00629,182.1,60,894.7426058,4689,10736.91127
Honda CR-V,2004,Petrol,Manual,4,Fair,Brown,No,No,No,No,4,No insurance,No Service,Not rated/Unknown,No,No,No,Alloy,No,12,5,6553.601733,three,0.006476885,1.642471109,3125.542396,161,67.5,3496.160436,5190,41953.92523
Toyota Corolla,2020,Electric,Manual,4,Good,Brown,Yes,Yes,Yes,Yes,1,Collision,Full Service,3 stars,Yes,Yes,No,Forged,Yes,8,1,24381.08335,three,0.015230299,2.044309359,3340.060049,169.7,65.2,1037.247974,5720,12446.97569
Toyota Tundra,2017,Hybrid,Automatic,4,Good,Brown,Yes,No,No,Yes,1,Comprehensive,Partial Service,5 stars,Yes,Yes,No,Forged,No,35,1,28357.83064,five,-0.002341534,2.586011338,3847.825597,176,68.1,880.0457533,4559,10560.54904
Ford Fusion,2010,Hybrid,Automatic,2,Fair,Brown,No,No,No,Yes,1,Comprehensive,Partial Service,4 stars,Yes,Yes,Yes,Forged,Yes,18,1,20165.48038,five,-0.00234137,2.378832784,3365.398982,188.7,70.3,1587.855494,5599,19054.26593
Honda CR-V,2004,Petrol,Manual,4,Good,Brown,No,No,No,No,4,No insurance,No Service,Not rated/Unknown,Yes,No,Yes,Alloy,No,24,2,6643.760315,two,0.015792128,2.316321916,3828.44698,167.7,72.7,3351.335353,4285,40216.02424
Honda CR-V,2003,Petrol,Manual,4,Fair,Black,No,No,No,No,4,No insurance,No Service,Not rated/Unknown,Yes,No,No,Chrome,No,6,4,6122.786871,two,0.007674347,1.324603097,2714.43598,176,70.4,3218.447319,4304,38621.36783
Honda CR-V,2006,Petrol,Manual,4,Fair,Yellow,No,No,No,No,4,No insurance,Partial Service,1 star,Yes,No,No,Alloy,No,18,2,5993.991374,three,-0.004694744,1.986830155,3384.373776,156.1,71.4,3680.813352,6164,44169.76022
Toyota Corolla,2019,Hybrid,Manual,2,Excellent,Silver,Yes,No,No,Yes,1,Third Party,Partial Service,4 stars,No,Yes,Yes,Hubcaps,No,20,1,25982.19407,two,0.0054256,2.606651354,3667.849562,192.2,66.7,1100.033833,5904,13200.40599
Nissan Altima,2002,Petrol,Manual,4,Fair,Brown,No,No,No,No,2,Collision,Partial Service,Not rated/Unknown,No,No,Yes,Steel,No,21,5,8801.115767,three,-0.004634177,2.951789323,3284.039993,190.4,69.1,2918.532318,5997,35022.38781
Honda CR-V,2008,Petrol,Manual,4,Fair,Yellow,No,No,No,No,2,No insurance,Partial Service,Not rated/Unknown,Yes,Yes,No,Steel,No,14,2,4665.620377,three,-0.004657298,1.689957054,3303.486391,192,64.4,3940.06796,6431,47280.81552
Toyota Corolla,2019,Electric,Manual,4,Good,Brown,Yes,No,No,Yes,1,Comprehensive,Partial Service,5 stars,Yes,No,Yes,Alloy,Yes,16,1,20774.13597,two,0.002419623,2.506939966,4013.280931,206.8,66.4,1930.438704,4599,23165.26445
Ford Escape,2005,Hybrid,Automatic,4,Good,Black,No,No,No,Yes,3,Comprehensive,Partial Service,Not rated/Unknown,No,No,No,Steel,No,8,3,18352.66203,two,-0.019132802,2.800399058,3276.4173,177.8,70.7,1812.308131,5233,21747.69757
Nissan Altima,2004,Petrol,Manual,4,Good,Yellow,No,No,No,No,2,Collision,Partial Service,1 star,Yes,No,Yes,Chrome,No,13,2,9358.214815,two,-0.017249178,2.776616366,3077.627619,194.5,72.9,2877.628505,4750,34531.54206
Ford Escape,2020,Hybrid,Manual,4,Good,Brown,Yes,No,No,Yes,1,Third Party,No Service,5 stars,Yes,Yes,No,Chrome,No,11,1,26730.83416,four,-0.005622875,3.076941842,3832.399053,143.3,66.8,1038.736046,4615,12464.83255
Nissan GT-R,2009,Electric,Manual,4,Good,Brown,No,No,No,Yes,3,Comprehensive,No Service,Not rated/Unknown,No,No,No,Steel,No,10,2,11925.45656,three,-0.010128311,2.20850039,3194.442297,181.2,70.9,2557.763182,4800,30693.15818
Toyota Tundra,2012,Hybrid,Manual,2,Excellent,Brown,No,Yes,No,Yes,2,Comprehensive,Full Service,2 stars,No,Yes,Yes,Alloy,No,31,1,23694.1164,four,0.003142473,2.404641092,3610.887049,191.5,66.9,1201.034391,6287,14412.41269
Chevrolet Volt,2016,Petrol,Manual,4,Good,Brown,Yes,No,Yes,Yes,2,Collision,Full Service,4 stars,Yes,No,Yes,Chrome,Yes,33,2,17517.66413,six,-0.009080241,2.042257592,4176.724238,178.1,72.4,1849.173704,5145,22190.08445
Nissan Altima,2008,Electric,Automatic,4,Fair,Brown,No,No,No,Yes,2,Collision,Partial Service,4 stars,No,No,No,Steel,No,20,2,12523.90508,two,-0.014123037,2.627827128,3147.799767,191.4,61,2539.861773,6516,30478.34128
Ford Escape,2016,Hybrid,Manual,4,Good,Brown,Y,No,No,Yes,3,Third Party,Full Service,4 stars,Yes,No,No,Forged,Yes,14,2,22389.09538,six,0.014656488,2.251651051,3292.697558,190.5,70,1343.987867,5414,16127.8544
Toyota Prius,2008,Hybrid,Manual,2,Good,Beige,Y,Yes,Yes,Yes,22,Third Party,Full Service,4 stars,No,No,No,Chrome,Yes,35,1,22866.4846,five,-0.002257763,2.335165606,3418.740401,141.7,60.7,1341.033263,6271,16092.39915
Nissan Altima,2008,Petrol,Manual,4,Good,Black,No,No,No,Yes,22,No insurance,Full Service,4 stars,Yes,No,No,Hubcaps,No,28,3,9504.396654,three,0.000675282,2.166068524,3507.748582,194.2,61.3,2810.734369,6113,33728.81243
Chevrolet Volt,2008,Hybrid,Manual,4,Fair,Silver,Y,No,No,Yes,22,Comprehensive,Partial Service,1 star,Yes,No,Yes,Chrome,Yes,27,2,16726.51991,two,-0.014247482,1.900091653,3864.098337,179.7,63.5,2224.160014,5396,26689.92017
Chevrolet Volt,2010,Electric,Manual,4,Fair,Brown,No,No,No,Yes,22,Third Party,Partial Service,Not rated/Unknown,Yes,No,No,Steel,Yes,10,2,15964.33726,six,-0.005443827,2.35731584,3586.387488,174.8,70.9,1779.539857,6344,21354.47829
Honda CR-V,2003,Petrol,Manual,4,Fair,Yellow,No,No,No,No,22,No insurance,No Service,1 star,Yes,No,Yes,Steel,No,26,4,4792.241041,three,0.001109226,1.743337614,3502.240566,157.8,63.6,3889.090319,5746,46669.08383
Honda CR-V,2008,Petrol,Manual,4,Good,Brown,No,No,No,No,3,Third Party,No Service,1 star,No,No,Yes,Steel,No,15,2,7792.626117,two,-0.011509936,2.302455972,3259.210996,152.6,72,2987.875058,6599,35854.50069
Ford Fusion,2009,Hybrid,Manual,4,Good,Brown,Y,Yes,Yes,Yes,1,Comprehensive,Full Service,4 stars,No,No,No,Alloy,No,30,1,26202.85273,two,0.00375698,3.415847809,3405.497775,158,63.9,1022.490727,6583,12269.88872
Nissan GT-R,2017,Petrol,Automatic,4,Good,Brown,No,No,No,Yes,22,No insurance,No Service,2 stars,No,No,Yes,Alloy,No,12,4,12124.67706,two,-0.006006387,2.494245792,3466.741829,206.4,64.7,2841.938616,5558,34103.26339
